language,domain,nlp_tasks,value
Basque,Information engineering,text-to-speech,0
Basque,Information engineering,word segmentation,0
Basque,Information engineering,lemmatization,0
Basque,Information engineering,morphological segmentation,0
Basque,Information engineering,part-of-speech tagging,0
Basque,Information engineering,stemming,0
Basque,Information engineering,grammar induction,0
Basque,Information engineering,sentence breaking ,0
Basque,Information engineering,parsing,0
Basque,Information engineering,lexical semantics,0
Basque,Information engineering,distributional semantics,0
Basque,Information engineering,named entity recognition,0
Basque,Information engineering,sentiment analysis,0
Basque,Information engineering,terminology extraction,0
Basque,Information engineering,word-sense disambiguation,0
Basque,Information engineering,entity linking,0
Basque,Information engineering,multiword expressions,0
Basque,Information engineering,relationship extraction,0
Basque,Information engineering,semantic parsing,0
Basque,Information engineering,semantic role labelling,0
Basque,Information engineering,coreference resolution,0
Basque,Information engineering,discourse analysis,0
Basque,Information engineering,implicit semantic role labelling,0
Basque,Information engineering,recognizing textual entailment,0
Basque,Information engineering,topic segmentation,0
Basque,Information engineering,argument mining,0
Basque,Information engineering,anaphora resolution,0
Basque,Mechanical engineering,optical character recognition,0
Basque,Mechanical engineering,speech recognition,0
Basque,Mechanical engineering,speech segmentation,0
Basque,Mechanical engineering,text-to-speech,0
Basque,Mechanical engineering,word segmentation,0
Basque,Mechanical engineering,lemmatization,0
Basque,Mechanical engineering,morphological segmentation,0
Basque,Mechanical engineering,part-of-speech tagging,0
Basque,Mechanical engineering,stemming,0
Basque,Mechanical engineering,grammar induction,0
Basque,Mechanical engineering,sentence breaking ,0
Basque,Mechanical engineering,parsing,0
Basque,Mechanical engineering,lexical semantics,0
Basque,Mechanical engineering,distributional semantics,0
Basque,Mechanical engineering,named entity recognition,0
Basque,Mechanical engineering,sentiment analysis,0
Basque,Mechanical engineering,terminology extraction,0
Basque,Mechanical engineering,word-sense disambiguation,0
Basque,Mechanical engineering,entity linking,0
Basque,Mechanical engineering,multiword expressions,0
Basque,Mechanical engineering,relationship extraction,0
Basque,Mechanical engineering,semantic parsing,0
Basque,Mechanical engineering,semantic role labelling,0
Basque,Mechanical engineering,coreference resolution,0
Basque,Mechanical engineering,discourse analysis,0
Basque,Mechanical engineering,implicit semantic role labelling,0
Basque,Mechanical engineering,recognizing textual entailment,0
Basque,Mechanical engineering,topic segmentation,0
Basque,Mechanical engineering,argument mining,0
Basque,Mechanical engineering,anaphora resolution,0
Basque,Chemical engineering,optical character recognition,0
Basque,Chemical engineering,speech recognition,0
Basque,Chemical engineering,speech segmentation,0
Basque,Chemical engineering,text-to-speech,0
Basque,Chemical engineering,word segmentation,0
Basque,Chemical engineering,lemmatization,0
Basque,Chemical engineering,morphological segmentation,0
Basque,Chemical engineering,part-of-speech tagging,0
Basque,Chemical engineering,stemming,0
Basque,Chemical engineering,grammar induction,0
Basque,Chemical engineering,sentence breaking ,0
Basque,Chemical engineering,parsing,0
Basque,Chemical engineering,lexical semantics,0
Basque,Chemical engineering,distributional semantics,0
Basque,Chemical engineering,named entity recognition,0
Basque,Chemical engineering,sentiment analysis,0
Basque,Chemical engineering,terminology extraction,0
Basque,Chemical engineering,word-sense disambiguation,0
Basque,Chemical engineering,entity linking,0
Basque,Chemical engineering,multiword expressions,0
Basque,Chemical engineering,relationship extraction,0
Basque,Chemical engineering,semantic parsing,0
Basque,Chemical engineering,semantic role labelling,0
Basque,Chemical engineering,coreference resolution,0
Basque,Chemical engineering,discourse analysis,0
Basque,Chemical engineering,implicit semantic role labelling,0
Basque,Chemical engineering,recognizing textual entailment,0
Basque,Chemical engineering,topic segmentation,0
Basque,Chemical engineering,argument mining,0
Basque,Chemical engineering,anaphora resolution,0
Basque,Materials engineering,optical character recognition,0
Basque,Materials engineering,speech recognition,0
Basque,Materials engineering,speech segmentation,0
Basque,Materials engineering,text-to-speech,0
Basque,Materials engineering,word segmentation,0
Basque,Materials engineering,lemmatization,0
Basque,Materials engineering,morphological segmentation,0
Basque,Materials engineering,part-of-speech tagging,0
Basque,Materials engineering,stemming,0
Basque,Materials engineering,grammar induction,0
Basque,Materials engineering,sentence breaking ,0
Basque,Materials engineering,parsing,0
Basque,Materials engineering,lexical semantics,0
Basque,Materials engineering,distributional semantics,0
Basque,Materials engineering,named entity recognition,0
Basque,Materials engineering,sentiment analysis,0
Basque,Materials engineering,terminology extraction,0
Basque,Materials engineering,word-sense disambiguation,0
Basque,Materials engineering,entity linking,0
Basque,Materials engineering,multiword expressions,0
Basque,Materials engineering,relationship extraction,0
Basque,Materials engineering,semantic parsing,0
Basque,Materials engineering,semantic role labelling,0
Basque,Materials engineering,coreference resolution,0
Basque,Materials engineering,discourse analysis,0
Basque,Materials engineering,implicit semantic role labelling,0
Basque,Materials engineering,recognizing textual entailment,0
Basque,Materials engineering,topic segmentation,0
Basque,Materials engineering,argument mining,0
Basque,Materials engineering,anaphora resolution,0
Basque,Medical engineering,optical character recognition,0
Basque,Medical engineering,speech recognition,0
Basque,Medical engineering,speech segmentation,0
Basque,Medical engineering,text-to-speech,0
Basque,Medical engineering,word segmentation,0
Basque,Medical engineering,lemmatization,0
Basque,Medical engineering,morphological segmentation,0
Basque,Medical engineering,part-of-speech tagging,0
Basque,Medical engineering,stemming,0
Basque,Medical engineering,grammar induction,0
Basque,Medical engineering,sentence breaking ,0
Basque,Medical engineering,parsing,0
Basque,Medical engineering,lexical semantics,0
Basque,Medical engineering,distributional semantics,0
Basque,Medical engineering,named entity recognition,0
Basque,Medical engineering,sentiment analysis,0
Basque,Medical engineering,terminology extraction,0
Basque,Medical engineering,word-sense disambiguation,0
Basque,Medical engineering,entity linking,0
Basque,Medical engineering,multiword expressions,0
Basque,Medical engineering,relationship extraction,0
Basque,Medical engineering,semantic parsing,0
Basque,Medical engineering,semantic role labelling,0
Basque,Medical engineering,coreference resolution,0
Basque,Medical engineering,discourse analysis,0
Basque,Medical engineering,implicit semantic role labelling,0
Basque,Medical engineering,recognizing textual entailment,0
Basque,Medical engineering,topic segmentation,0
Basque,Medical engineering,argument mining,0
Basque,Medical engineering,anaphora resolution,0
Basque,Environmental engineering,optical character recognition,0
Basque,Environmental engineering,speech recognition,0
Basque,Environmental engineering,speech segmentation,0
Basque,Environmental engineering,text-to-speech,0
Basque,Environmental engineering,word segmentation,0
Basque,Environmental engineering,lemmatization,0
Basque,Environmental engineering,morphological segmentation,0
Basque,Environmental engineering,part-of-speech tagging,0
Basque,Environmental engineering,stemming,0
Basque,Environmental engineering,grammar induction,0
Basque,Environmental engineering,sentence breaking ,0
Basque,Environmental engineering,parsing,0
Basque,Environmental engineering,lexical semantics,0
Basque,Environmental engineering,distributional semantics,0
Basque,Environmental engineering,named entity recognition,0
Basque,Environmental engineering,sentiment analysis,0
Basque,Environmental engineering,terminology extraction,0
Basque,Environmental engineering,word-sense disambiguation,0
Basque,Environmental engineering,entity linking,0
Basque,Environmental engineering,multiword expressions,0
Basque,Environmental engineering,relationship extraction,0
Basque,Environmental engineering,semantic parsing,0
Basque,Environmental engineering,semantic role labelling,0
Basque,Environmental engineering,coreference resolution,0
Basque,Environmental engineering,discourse analysis,0
Basque,Environmental engineering,implicit semantic role labelling,0
Basque,Environmental engineering,recognizing textual entailment,0
Basque,Environmental engineering,topic segmentation,0
Basque,Environmental engineering,argument mining,0
Basque,Environmental engineering,anaphora resolution,0
Basque,Environmental biotechnology,optical character recognition,0
Basque,Environmental biotechnology,speech recognition,0
Basque,Environmental biotechnology,speech segmentation,0
Basque,Environmental biotechnology,text-to-speech,0
Basque,Environmental biotechnology,word segmentation,0
Basque,Environmental biotechnology,lemmatization,0
Basque,Environmental biotechnology,morphological segmentation,0
Basque,Environmental biotechnology,part-of-speech tagging,0
Basque,Environmental biotechnology,stemming,0
Basque,Environmental biotechnology,grammar induction,0
Basque,Environmental biotechnology,sentence breaking ,0
Basque,Environmental biotechnology,parsing,0
Basque,Environmental biotechnology,lexical semantics,0
Basque,Environmental biotechnology,distributional semantics,0
Basque,Environmental biotechnology,named entity recognition,0
Basque,Environmental biotechnology,sentiment analysis,0
Basque,Environmental biotechnology,terminology extraction,0
Basque,Environmental biotechnology,word-sense disambiguation,0
Basque,Environmental biotechnology,entity linking,0
Basque,Environmental biotechnology,multiword expressions,0
Basque,Environmental biotechnology,relationship extraction,0
Basque,Environmental biotechnology,semantic parsing,0
Basque,Environmental biotechnology,semantic role labelling,0
Basque,Environmental biotechnology,coreference resolution,0
Basque,Environmental biotechnology,discourse analysis,0
Basque,Environmental biotechnology,implicit semantic role labelling,0
Basque,Environmental biotechnology,recognizing textual entailment,0
Basque,Environmental biotechnology,topic segmentation,0
Basque,Environmental biotechnology,argument mining,0
Basque,Environmental biotechnology,anaphora resolution,0
Basque,Industrial biotechnology,optical character recognition,0
Basque,Industrial biotechnology,speech recognition,0
Basque,Industrial biotechnology,speech segmentation,0
Basque,Industrial biotechnology,text-to-speech,0
Basque,Industrial biotechnology,word segmentation,0
Basque,Industrial biotechnology,lemmatization,0
Basque,Industrial biotechnology,morphological segmentation,0
Basque,Industrial biotechnology,part-of-speech tagging,0
Basque,Industrial biotechnology,stemming,0
Basque,Industrial biotechnology,grammar induction,0
Basque,Industrial biotechnology,sentence breaking ,0
Basque,Industrial biotechnology,parsing,0
Basque,Industrial biotechnology,lexical semantics,0
Basque,Industrial biotechnology,distributional semantics,0
Basque,Industrial biotechnology,named entity recognition,0
Basque,Industrial biotechnology,sentiment analysis,0
Basque,Industrial biotechnology,terminology extraction,0
Basque,Industrial biotechnology,word-sense disambiguation,0
Basque,Industrial biotechnology,entity linking,0
Basque,Industrial biotechnology,multiword expressions,0
Basque,Industrial biotechnology,relationship extraction,0
Basque,Industrial biotechnology,semantic parsing,0
Basque,Industrial biotechnology,semantic role labelling,0
Basque,Industrial biotechnology,coreference resolution,0
Basque,Industrial biotechnology,discourse analysis,0
Basque,Industrial biotechnology,implicit semantic role labelling,0
Basque,Industrial biotechnology,recognizing textual entailment,0
Basque,Industrial biotechnology,topic segmentation,0
